"Car;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model;Origin"
"Chevrolet;Chevelle Malibu;l8.0;8;307.0;130.0;3504.;12.0;70;US"
"Buick Skylark 320;15.0;8;350.0;165.0;3693.;ll.5;70;US"
"Plymouth Satellite;18.0;8;318.0;150.0;3436.;11.0;70;US"
"AMC Rebel SST;l6.0;8;304.0;150.0;3433.;12.0;70;US"
"Ford Torino;l7.0;8;302.0;140.0;3449.;10.5;70;US"
"Ford Galaxie 500;15.0;8;429.0;198.0;4341.;10.0;70;US"
"Chevrolet lmpala;l4.0;8;454.0;220.0;4354.;9.0;70;US"
"Plymouth Fury iii;l4.0;8;440.0;215.0;4312.;8.5;70;US"
"Pontiac Cata lina;l4.0;8;455.0;225.0;4425. ;10.0;70;US"
"AMC Ambassador DPL;l5.0;8;390.0;190.0;3850.;8.5;70;US"
"Citroen DS-21 Pa llas;0;4;133.0;115.0;3090.;17.5;70;Eu rope"
"Chevrolet Chevelle Concours (sw);0;8;350.0;165.0;4142.;ll.5;70;US"
"Ford Torino (sw);0;8;351.0;153.0;4034.;ll.0;70;US"
"Plymouth Satellite (sw);0;8;383.0;175.0;4166.;10.5;70;US"
